Date,Product,Category,Sales,Profit,Quantity Sold
2024-01-01,Laptop,Electronics,1200,300,5
2024-01-02,Smartphone,Electronics,800,150,10
2024-01-03,Headphones,Electronics,150,50,20
2024-01-04,T-Shirt,Clothing,25,10,30
2024-01-05,Shoes,Clothing,90,30,15
2024-01-06,Tablet,Electronics,600,200,6
2024-01-07,Desk Chair,Furniture,200,40,8
2024-01-08,Refrigerator,Appliances,900,250,3
2024-01-09,Microwave,Appliances,300,100,5
2024-01-10,Jeans,Clothing,50,15,25
2024-01-11,Sunglasses,Accessories,60,20,12
2024-01-12,Washing Machine,Appliances,1000,300,4
2024-01-13,Monitor,Electronics,250,70,9
2024-01-14,Keyboard,Electronics,100,30,15
2024-01-15,Mouse,Electronics,50,20,18
2024-01-16,Jacket,Clothing,80,25,14
2024-01-17,Smartwatch,Electronics,200,60,7
2024-01-18,Backpack,Accessories,40,15,20
2024-01-19,Desk,Furniture,500,100,5
2024-01-20,LED TV,Electronics,700,180,6
2024-01-21,Blender,Appliances,120,40,8
2024-01-22,Coffee Maker,Appliances,90,30,10
2024-01-23,Printer,Electronics,300,80,6
2024-01-24,Router,Electronics,150,40,9
2024-01-25,Earbuds,Electronics,120,50,12
2024-01-26,Bookshelf,Furniture,400,90,7
2024-01-27,Sweater,Clothing,60,20,16
2024-01-28,Air Conditioner,Appliances,1100,350,3
2024-01-29,Power Bank,Electronics,80,25,14
2024-01-30,Fitness Band,Electronics,150,50,8
2024-01-31,Lamp,Furniture,50,15,10
